City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Uige,AO,2022-11-10 03:37:48,-7.6087,15.0613,64.65,98,100,1.99
68,Vaini,TO,2022-11-10 03:37:48,-21.2,-175.2,80.76,83,75,10.36
69,Bluff,NZ,2022-11-10 03:37:48,-46.6,168.3333,58.8,64,0,17.2
70,Vao,NC,2022-11-10 03:37:49,-22.6667,167.4833,73.22,77,35,16.98
71,Thompson,CA,2022-11-10 03:36:52,55.7435,-97.8558,8.76,78,75,9.22
72,Clyde River,CA,2022-11-10 03:37:49,70.4692,-68.5914,1.63,85,100,26.46
73,Chiang Klang,TH,2022-11-10 03:37:49,19.2938,100.8617,86.88,43,4,1.41
74,Bangassou,CF,2022-11-10 03:37:50,4.7413,22.8184,68.14,99,100,2.21
75,Georgetown,MY,2022-11-10 03:37:50,5.4112,100.3354,87.73,74,20,5.99
76,Shelburne,CA,2022-11-10 03:37:50,44.0787,-80.2041,57.65,42,3,16.53
77,Chenghai,CN,2022-11-10 03:37:50,23.4632,116.768,82.31,61,0,2.24
78,Bethel,US,2022-11-10 03:36:03,41.3712,-73.414,49.57,83,0,0.0
79,Alice Springs,AU,2022-11-10 03:37:51,-23.7,133.8833,94.55,21,18,16.11
80,The Pas,CA,2022-11-10 03:37:51,53.8251,-101.2541,12.22,73,75,11.5
81,Esperance,AU,2022-11-10 03:37:51,-33.8667,121.9,72.32,52,92,5.88
82,Pokhara,NP,2022-11-10 03:37:51,28.2333,83.9833,70.0,48,1,4.25
83,Nome,US,2022-11-10 03:37:52,64.5011,-165.4064,33.87,70,100,8.05
84,Sorland,NO,2022-11-10 03:37:52,67.667,12.6934,39.06,65,72,11.21
85,Moron,AR,2022-11-10 03:37:52,-34.6534,-58.6198,71.35,63,15,9.8
86,Belle Fourche,US,2022-11-10 03:37:52,44.6714,-103.8522,22.32,74,94,6.73
87,Nikolskoye,RU,2022-11-10 03:38:53,59.7035,30.7861,49.91,94,100,8.66
88,Jinchang,CN,2022-11-10 03:38:53,38.4953,102.1739,48.02,28,25,16.33
89,Popondetta,PG,2022-11-10 03:38:53,-8.7537,148.2534,89.91,58,51,5.1
90,Samarai,PG,2022-11-10 03:38:44,-10.6167,150.6667,83.61,63,12,12.84
91,Bakel,SN,2022-11-10 03:38:54,14.905,-12.4568,76.84,16,1,7.31
92,Manokwari,ID,2022-11-10 03:38:54,-0.8667,134.0833,82.54,75,100,5.5
93,Sao Joao Da Barra,BR,2022-11-10 03:38:54,-21.6403,-41.0511,68.92,93,100,7.85
94,Gillette,US,2022-11-10 03:38:54,44.2911,-105.5022,17.06,91,100,9.22
95,Atuona,PF,2022-11-10 03:38:55,-9.8,-139.0333,77.2,75,72,17.2
96,San Quintin,MX,2022-11-10 03:38:55,30.4833,-115.95,60.46,62,0,14.76
97,Locri,IT,2022-11-10 03:38:55,38.2414,16.2623,57.33,62,15,4.23
98,Luoyang,CN,2022-11-10 03:34:09,34.6836,112.4536,65.44,62,59,6.98
99,Lagoa,PT,2022-11-10 03:38:22,39.05,-27.9833,67.86,86,73,25.48
100,Norman Wells,CA,2022-11-10 03:38:55,65.282,-126.8329,10.44,85,20,6.91
101,Poum,NC,2022-11-10 03:38:56,-20.2333,164.0167,77.09,73,3,22.68
102,Dikson,RU,2022-11-10 03:38:56,73.5069,80.5464,-3.26,99,49,10.83
103,Avarua,CK,2022-11-10 03:37:10,-21.2078,-159.775,75.25,78,40,13.8
104,Airai,TL,2022-11-10 03:36:54,-8.9266,125.4092,74.48,60,84,2.17
105,Aberdeen,GB,2022-11-10 03:38:56,57.1437,-2.0981,56.5,90,40,16.11
106,Tuktoyaktuk,CA,2022-11-10 03:38:56,69.4541,-133.0374,15.8,92,75,8.05
107,Kargasok,RU,2022-11-10 03:38:57,59.0556,80.8572,26.62,94,99,9.15
108,Mehamn,NO,2022-11-10 03:38:57,71.0357,27.8492,33.75,80,40,10.36
109,Staszow,PL,2022-11-10 03:38:57,50.5631,21.1659,42.91,99,93,6.85
110,Musoma,TZ,2022-11-10 03:38:57,-1.5,33.8,66.67,85,100,6.26
111,Acapulco,MX,2022-11-10 03:38:58,16.8634,-99.8901,80.42,83,0,5.75
112,Mareeba,AU,2022-11-10 03:36:08,-17.0,145.4333,86.43,56,89,7.94
113,Chunskiy,RU,2022-11-10 03:38:58,56.0815,99.6342,27.75,82,98,9.35
114,Troitsko-Pechorsk,RU,2022-11-10 03:38:58,62.7084,56.1964,32.38,99,100,5.53
115,Dingle,PH,2022-11-10 03:38:35,10.9995,122.6711,85.91,70,63,12.91
116,Araouane,ML,2022-11-10 03:38:59,18.9048,-3.5265,71.1,14,17,7.4
117,Hargeysa,SO,2022-11-10 03:38:59,9.56,44.065,66.52,81,6,6.87
118,Abancay,PE,2022-11-10 03:38:59,-13.6339,-72.8814,58.19,87,88,1.86
119,Pevek,RU,2022-11-10 03:38:59,69.7008,170.3133,-5.51,99,100,3.09
120,Boffa,GN,2022-11-10 03:39:00,10.1667,-14.0333,72.5,89,2,2.64
121,Lompoc,US,2022-11-10 03:39:00,34.6391,-120.4579,52.02,83,0,10.36
122,Salinopolis,BR,2022-11-10 03:39:00,-0.6136,-47.3561,77.16,81,45,9.22
123,Bilma,NE,2022-11-10 03:39:00,18.6853,12.9164,65.68,33,0,8.41
124,Katsuura,JP,2022-11-10 03:39:01,35.1333,140.3,69.62,54,3,18.3
125,Tshikapa,CD,2022-11-10 03:39:01,-6.4167,20.8,67.23,98,100,0.58
126,Lumeje,AO,2022-11-10 03:39:01,-11.55,20.7833,64.63,95,100,7.31
127,Vestmanna,FO,2022-11-10 03:39:02,62.1564,-7.1664,47.32,93,100,14.97
128,Hithadhoo,MV,2022-11-10 03:39:02,-0.6,73.0833,81.91,72,89,13.09
129,Bryan,US,2022-11-10 03:38:52,30.6744,-96.37,73.15,75,0,9.22
130,Adrar,MR,2022-11-10 03:39:02,20.5022,-10.0711,69.69,16,1,7.96
131,Dauriya,RU,2022-11-10 03:39:02,49.9333,116.8667,27.25,90,100,6.44
132,Vyartsilya,RU,2022-11-10 03:40:03,62.1764,30.693,42.62,100,100,5.21
133,Westport,US,2022-11-10 03:36:25,41.1415,-73.3579,51.62,75,0,11.5
134,Ridgecrest,US,2022-11-10 03:35:14,35.6225,-117.6709,48.02,53,0,6.91
135,Mahebourg,MU,2022-11-10 03:40:03,-20.4081,57.7,77.25,73,20,5.75
136,East London,ZA,2022-11-10 03:37:31,-33.0153,27.9116,64.15,78,100,5.44
137,Bhatkal,IN,2022-11-10 03:40:03,13.9667,74.5667,83.71,52,5,7.09
138,Vanavara,RU,2022-11-10 03:40:04,60.34,102.2797,22.14,87,100,11.83
139,Saint-Pierre,RE,2022-11-10 03:40:04,-21.3393,55.4781,77.58,57,0,4.61
140,Yichun,CN,2022-11-10 03:40:05,47.7,128.9,33.22,28,0,5.14
141,New Norfolk,AU,2022-11-10 03:40:05,-42.7826,147.0587,81.72,33,68,8.99
