City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Uvinza,TZ,68.4,broken clouds,-5.1036,30.3911,Crown Lodge and lounge
165,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
167,Kavaratti,IN,82.31,overcast clouds,10.5669,72.642,Green leaf
170,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
171,Ormara,PK,79.95,clear sky,25.2088,64.6357,Kenara Colony House for Rent
172,Houston,US,85.28,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
175,Zwedru,LR,74.21,light rain,6.0667,-8.1281,Elijah Worjloh
176,Caravelas,BR,80.37,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
180,Mahanje,TZ,73.56,broken clouds,-9.9333,35.3333,Amani social Hall
182,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
186,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
188,Touros,BR,82.47,clear sky,-5.1989,-35.4608,INN NEW HORIZON
190,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
191,Agar,IN,67.6,broken clouds,23.7,76.0167,Bherav Mandir
193,Athol,US,65.79,mist,42.5959,-72.2268,Pequoig House Apartments
194,Namatanai,PG,78.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
195,Makakilo City,US,77.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
196,Carutapera,BR,84.22,broken clouds,-1.195,-46.02,Lidera
199,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
200,Graneros,CL,66.38,broken clouds,-34.0667,-70.7333,Campo Escuela Callejones Park
201,Bonthe,SL,79.23,few clouds,7.5264,-12.505,Bonthe Holiday Village
203,Los Rastrojos,VE,82.76,light rain,10.0259,-69.2417,MakeupAngells
209,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
210,Mangrol,IN,79.66,few clouds,21.1167,70.1167,Hotel The Royal Honours
212,Notse,TG,76.78,moderate rain,6.95,1.1667,Le Berceau
213,Kaduna,NG,78.19,clear sky,10.5222,7.4383,HAMDALA HOTEL
214,Acarau,BR,84.06,overcast clouds,-2.8856,-40.12,castelo pizzaria
224,Soyo,AO,77.67,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
228,Jieshi,CN,72.39,scattered clouds,22.8134,115.8257,Yuehai Hotel
231,Madang,PG,75.15,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
234,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
235,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
237,Camopi,GF,83.19,light rain,3.1655,-52.3158,La pousada
238,Singarayakonda,IN,77.5,moderate rain,15.25,80.0333,Sri Nrk A/C Lodge
241,New Smyrna Beach,US,86.02,broken clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
242,Del Rio,US,66.31,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
243,Eydhafushi,MV,80.53,overcast clouds,5.1033,73.0708,Soneva Fushi
247,Piacabucu,BR,81.39,broken clouds,-10.4056,-36.4344,Piaçabuçu News
254,Najran,SA,68.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
259,Itarema,BR,83.53,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
260,Inhambane,MZ,76.26,clear sky,-23.865,35.3833,Oceano
